,,Wireshark,,,,,,,,,,,,,,,,
ID,"Having read the Participant Information sheet, I freely consent to my participation in this study.","In ""icmp2.pcap"", how many packets are there in total?","In ""icmp2.pcap"", how many ARP packets are there?","In ""icmp2.pcap"", what is the Ethernet destination MAC address of the first ARP packet?","In ""icmp2.pcap"", what type of ARP packet is the 4th ARP packet?","In ""icmp2.pcap"", how many ICMPv4 packets are there?","In ""icmp2.pcap"", find the first ICMPv4 packet. What type of ICMPv4 packet is it? [i.e. type field]","In ""icmp2.pcap"", find the first ICMPv4 packet. Which IPv4 packet caused this ICMPv4 packet to be thrown?","In ""icmp2.pcap"", find packet 1871. What extension headers does it have, and what is the 'next-header' protocol at the end of the extension header daisychain?","In ""icmp2.pcap"", are there more packets TCP packets or UDP packets?","In ""icmp2.pcap"", how many ICMPv6 packets of type ""Neighbor Solicitation"" are there?
","In ""icmp2.pcap"", what is the source IP address and the destination IP address of the two computers which sent the fewest IPv4 packets between them?","In ""icmp2.pcap"", how many full TCP 3-way opening handshakes (SYN, SYN-ACK, ACK) occurred?","In ""icmp2.pcap"", what is the packet number of the ACK of the first full TCP 3-way opening handshake?","In ""icmp2.pcap"", which ports are the first full TCP handshake agreed between?
",What did you like about this tool?,What did you dislike about this tool?,What would improve this tool?
1,Agree,1891,8,20:7b:d2:c7:04:f4,Reply,1,Destination Unreachable,1835,,,,,,,,"Colour coding
Being able to click into packets to expand fields with more info","More complex display filters seem difficult to create. I couldn't work out how to filter by packet type, destination address, and port at the same time.
Everything feels cramped. The RFC-style display was hard to scroll around and work out what was what.","Easier to use/understand/write display filters (it crashed when I tried this)
A summary of the number of packets which fit a certain display filter when you've filtered by it (e.g. filter by arp, it would display 8 somewhere)"
2 reordered,Agree,1891,8,20:7b:d2:c7:04:f4,0806,1,0800?,,,,,,,,,"The different methods to sort packets by specific headers, and colouring based on the protocol used, plus the quick search tools to be able to find a specifc packet","The way the bulk of the data was presented, as it wasn't the most clear whahere i could find meaningful human-readable information about each packet",Alternate formatting of the way human readable data is presented so useful information can be easier to find without too much familiarity with the tool
3,Agree,1891,8,20.7b.d2.c7.04.f4,reply,1,3: destination unreachable,,,,,,,,,Nice to see the bytes of the packet,"hard to follow packets sent by other packets. i.e. error packets, couldnt find the packet that caused the error",Right click options tailored to packet type
4 reordered,Agree,1891,8,20:7b:d2:c7:04:f4,,1,3,,,,,,,,,filters,the page is kinda cluttered,clearer signposting of information
5 reordered,Agree,1891,8,20:7b:d2:c7:04:f4,IPV4,1,3,,Hop-By-Hop,TCP,4,,,,,I liked being able to filter the packets by protocol. I liked the colour coding and the extra info in the packet scroll window such as info and length. ,Information overload in some parts. I struggled to pull out information I wasn't familiar with as it felt less intuative. ,Have a setting that reduces the amount of information such as not showing the Frame infor and Ethernet info as most of this task was looking at protocols at a higher level. 
6,Agree,1891,8,dc:a6:32:66:cd:59,,1,3,,"IPv6 Hop-by-Hop Option, ICMPv6",TCP,2,,,,,"The search filter, simple summary of number of total packets and number of packets displayed at the bottom ",The section that displays an individual packet's information with drop down bits,A more user friendly version of the individual packet information section
7,Agree,1891,7,20:7b:d2:c7:04:f4,,,,,,,,,,,,The color coding is nice. The packet stats in the bottom right is useful.,"The UI is wild, like the size of the drop down menus just vary too much. It's hard to look through the details of each packet. It feels very cramped. The icons don't make intuitive sense.",It needs a UI overhaul. The methods to change the UI layout are completely unintuitive. It also needs better icons that show their functionality more closely. The data needs to be labelled a displayed better.
,,,,,,,,,,,,,,,,,,
,,Our tool,,,,,,,,,,,,,,,,
